Topic,Count,Name,Representation,Representative_Docs
115,162,115_mayonnaise_mayo_mayonnaise mayonnaise_mayonnaise mayo,"['mayonnaise', 'mayo', 'mayonnaise mayonnaise', 'mayonnaise mayo', 'salmon mayonnaise']","[""['mayonnaise']"", ""['mayonnaise']"", ""['mayonnaise']""]"
116,161,116_dip dip_dip_dips_dip dips,"['dip dip', 'dip', 'dips', 'dip dips', 'quick dip']","[""['dip']"", ""['dip']"", ""['dip']""]"
117,161,117_chili chili_chili_chilli chili_chili chilies,"['chili chili', 'chili', 'chilli chili', 'chili chilies', 'chili chilli']","[""['chili']"", ""['chili']"", ""['chili']""]"
118,158,118_brisket_beef brisket_brisket brisket_brisket beef,"['brisket', 'beef brisket', 'brisket brisket', 'brisket beef', 'brisket crock']","[""['brisket']"", ""['brisket']"", ""['brisket']""]"
119,158,119_maple_maple syrup_syrup_cookies maple,"['maple', 'maple syrup', 'syrup', 'cookies maple', 'syrup maple']","[""['maple', 'syrup']"", ""['maple', 'syrup']"", ""['maple', 'syrup', 'maple']""]"
120,155,120_toast toast_toast_toasts toast_toast toasts,"['toast toast', 'toast', 'toasts toast', 'toast toasts', 'toasts']","[""['toast']"", ""['toast']"", ""['toast']""]"
121,151,121_guacamole_guacamole guacamole_yorkshire_yorkshire pudding,"['guacamole', 'guacamole guacamole', 'yorkshire', 'yorkshire pudding', 'guacamole yorkshire']","[""['guacamole']"", ""['guacamole']"", ""['guacamole']""]"
122,150,122_reuben_reuben sandwich_reuben casserole_reubens,"['reuben', 'reuben sandwich', 'reuben casserole', 'reubens', 'sandwich reuben']","[""['reuben']"", ""['reuben']"", ""['reuben']""]"
123,150,123_skillet_skillet chicken_chicken skillet_skillet skillet,"['skillet', 'skillet chicken', 'chicken skillet', 'skillet skillet', 'skillet lasagna']","[""['skillet', 'chicken']"", ""['skillet', 'chicken']"", ""['skillet', 'chicken']""]"
124,147,124_shepherd_shepherd pie_pie shepherd_pie,"['shepherd', 'shepherd pie', 'pie shepherd', 'pie', 'shepherds']","[""['shepherd', 'pie']"", ""['shepherd', 'pie']"", ""['shepherd', 'pie']""]"
